Arsenal,Leicester,4,3
Brighton,Man City,0,2
Chelsea,Burnley,2,3
Crystal Palace,Huddersfield,0,3
Everton,Stoke,1,0
Southampton,Swansea,0,0
Watford,Liverpool,3,3
West Brom,Bournemouth,1,0
Man United,West Ham,4,0
Newcastle,Tottenham,0,2
Bournemouth,Watford,0,2
Burnley,West Brom,0,1
Leicester,Brighton,2,0
Liverpool,Crystal Palace,1,0
Southampton,West Ham,3,2
Stoke,Arsenal,1,0
Swansea,Man United,0,4
Huddersfield,Newcastle,1,0
Tottenham,Chelsea,1,2
Man City,Everton,1,1
Bournemouth,Man City,1,2
Crystal Palace,Swansea,0,2
Huddersfield,Southampton,0,0
Man United,Leicester,2,0
Newcastle,West Ham,3,0
Watford,Brighton,0,0
Chelsea,Everton,2,0
Liverpool,Arsenal,4,0
Tottenham,Burnley,1,1
West Brom,Stoke,1,1
Arsenal,Bournemouth,3,0
Brighton,West Brom,3,1
Everton,Tottenham,0,3
Leicester,Chelsea,1,2
Man City,Liverpool,5,0
Southampton,Watford,0,2
Stoke,Man United,2,2
Burnley,Crystal Palace,1,0
Swansea,Newcastle,0,1
West Ham,Huddersfield,2,0
Bournemouth,Brighton,2,1
Crystal Palace,Southampton,0,1
Huddersfield,Leicester,1,1
Liverpool,Burnley,1,1
Newcastle,Stoke,2,1
Tottenham,Swansea,0,0
Watford,Man City,0,6
West Brom,West Ham,0,0
Chelsea,Arsenal,0,0
Man United,Everton,4,0
Burnley,Huddersfield,0,0
Everton,Bournemouth,2,1
Leicester,Liverpool,2,3
Man City,Crystal Palace,5,0
Southampton,Man United,0,1
Stoke,Chelsea,0,4
Swansea,Watford,1,2
West Ham,Tottenham,2,3
Brighton,Newcastle,1,0
Arsenal,West Brom,2,0
Bournemouth,Leicester,0,0
Chelsea,Man City,0,1
Huddersfield,Tottenham,0,4
Man United,Crystal Palace,4,0
Stoke,Southampton,2,1
West Brom,Watford,2,2
West Ham,Swansea,1,0
Arsenal,Brighton,2,0
Everton,Burnley,0,1
